1. Email,2. Level of study,3. Faculty,4. AI familiarity,5. Used AI tools,6. Tools used,7. Usage frequency,8. Challenges,9. Helpful tools needed,10. Improves learning?,11. Suggestions
eric69@gmail.com,Undergraduate,Health Sciences,Very familiar,"Grammarly, IBM Watson","Grammarly, IBM Watson",3,"Lack of training on how to use AI tools, Limited awareness of available AI tools",Automated languages problem generator,Maybe,Implement real-time skill mastery prediction in Engineering fundamentals courses with Graph Neural Networks
veronica30@gmail.com,Undergraduate,Business,Somewhat familiar,IBM Watson,IBM Watson,3,None,Real-time languages error detection,Maybe,Create Clinical skills-specific model using Graph Neural Networks that enables early warning systems
ortega_s@gmail.com,Postgraduate,Business,Very familiar,"IBM Watson, Turnitin","IBM Watson, Turnitin",5,None,AI teaching assistant that visualizes cognitive load,Maybe,Transformer models-based system for resource recommendation focusing on skill mastery in Language learning
bradley.pacheco@gmail.com,Undergraduate,Business,Not familiar at all,None,None,1,None,Automated programming problem generator,Yes,Transformer models-based system for early warning systems focusing on course difficulty in Engineering fundamentals
neal_c@gmail.com,Undergraduate,Education,Somewhat familiar,"Microsoft Copilot, GitHub Copilot","Microsoft Copilot, GitHub Copilot",2,Technical issues with tools/platforms,AI teaching assistant that adapts to learning styles,Maybe,Random Forests-based system for early warning systems focusing on engagement levels in Engineering fundamentals
kristi59@gmail.com,Postgraduate,Engineering,Very familiar,"GitHub Copilot, Grammarly, ChatGPT, IBM Watson","GitHub Copilot, Grammarly, ChatGPT, IBM Watson",5,None,computer vision-powered concept visualization system,No,Implement real-time student performance prediction in Business courses courses with LSTM networks
john47@gmail.com,Postgraduate,Engineering,Somewhat familiar,GitHub Copilot,GitHub Copilot,2,None,knowledge graphs-powered concept visualization system,Maybe,Random Forests-based system for adaptive testing focusing on student performance in Business courses
paule@gmail.com,Undergraduate,Health Sciences,Somewhat familiar,Turnitin,Turnitin,3,None,AI teaching assistant that visualizes cognitive load,Yes,Upgrade campus Wi-Fi to support AI tools
robin.martin@gmail.com,Postgraduate,Health Sciences,Somewhat familiar,GitHub Copilot,GitHub Copilot,2,None,Automated languages problem generator,Maybe,Implement real-time course difficulty prediction in Programming courses with LSTM networks
brenda54@gmail.com,Undergraduate,Education,Somewhat familiar,IBM Watson,IBM Watson,3,Limited awareness of available AI tools,NLP-powered writing assistance system,No,Time-series analysis-based system for tutor matching focusing on student performance in Programming
sullivan_t@gmail.com,Postgraduate,Health Sciences,Not familiar at all,None,None,1,None,predictive analytics-powered code debugging system,Yes,LSTM networks-based system for resource recommendation focusing on learning gaps in Clinical skills
acosta_j@gmail.com,Undergraduate,Business,Very familiar,"Grammarly, Microsoft Copilot, GitHub Copilot, Turnitin","Grammarly, Microsoft Copilot, GitHub Copilot, Turnitin",3,None,Automated clinical skills problem generator,No,Implement real-time course difficulty prediction in Programming courses with LSTM networks
janice.harris@gmail.com,Postgraduate,Business,Very familiar,"IBM Watson, Microsoft Copilot","IBM Watson, Microsoft Copilot",4,None,Automated programming problem generator,Yes,TA training program on AI ethics
stewartj@gmail.com,Other,Engineering,Somewhat familiar,"IBM Watson, Microsoft Copilot","IBM Watson, Microsoft Copilot",2,None,AI teaching assistant that predicts knowledge gaps,No,Transformer models-based system for tutor matching focusing on knowledge retention in Business courses
traci.romero@gmail.com,Undergraduate,Engineering,Very familiar,"GitHub Copilot, Grammarly, ChatGPT, Turnitin","GitHub Copilot, Grammarly, ChatGPT, Turnitin",5,"None, Technical issues with tools/platforms",AI teaching assistant that visualizes knowledge gaps,Maybe,Transformer models-based system for early warning systems focusing on engagement levels in Engineering fundamentals
sergio85@gmail.com,Postgraduate,Health Sciences,Somewhat familiar,Turnitin,Turnitin,2,None,Real-time languages error detection,Yes,Student training program on prompt engineering
tyler99@gmail.com,Other,Education,Very familiar,"GitHub Copilot, IBM Watson","GitHub Copilot, IBM Watson",4,"Limited awareness of available AI tools, Cost of implementation",AI teaching assistant that predicts cognitive load,Yes,Implement real-time learning gaps prediction in Clinical skills courses with Bayesian networks
angela.jones@gmail.com,Other,Health Sciences,Somewhat familiar,Grammarly,Grammarly,2,"Integration with existing systems, Lack of training on how to use AI tools",reinforcement learning-powered writing assistance system,No,Upgrade campus Wi-Fi to support AI tools
edward.kelley@gmail.com,Postgraduate,Business,Somewhat familiar,"IBM Watson, ChatGPT","IBM Watson, ChatGPT",2,None,NLP-powered code debugging system,Maybe,Ensemble methods-based system for curriculum optimization focusing on engagement levels in Programming
michelle.todd@gmail.com,Other,Health Sciences,Somewhat familiar,IBM Watson,IBM Watson,3,None,NLP-powered code debugging system,Yes,Bayesian networks-based system for tutor matching focusing on learning gaps in Business courses
cassandra34@gmail.com,Undergraduate,Engineering,Very familiar,"Turnitin, IBM Watson, Grammarly, GitHub Copilot","Turnitin, IBM Watson, Grammarly, GitHub Copilot",3,None,reinforcement learning-powered writing assistance system,No,Develop Ensemble methods to predict skill mastery in Business courses for early warning systems
daniel58@gmail.com,Postgraduate,Engineering,Somewhat familiar,GitHub Copilot,GitHub Copilot,3,None,AI teaching assistant that predicts learning styles,Maybe,Develop Ensemble methods to predict knowledge retention in Language learning for adaptive testing
davis_s@gmail.com,Postgraduate,Education,Very familiar,"Microsoft Copilot, Grammarly","Microsoft Copilot, Grammarly",5,None,Automated languages problem generator,No,Develop Random Forests to predict skill mastery in Business courses for curriculum optimization
brittany.rios@gmail.com,Undergraduate,Engineering,Very familiar,"GitHub Copilot, Microsoft Copilot, ChatGPT, Grammarly","GitHub Copilot, Microsoft Copilot, ChatGPT, Grammarly",3,Limited awareness of available AI tools,Automated math problem generator,Yes,Develop LSTM networks to predict course difficulty in Business courses for early warning systems
matthew.saunders@gmail.com,Undergraduate,Business,Somewhat familiar,ChatGPT,ChatGPT,3,None,NLP-powered automated grading system,Maybe,Implement real-time course difficulty prediction in Clinical skills courses with Ensemble methods
delgado_s@gmail.com,Postgraduate,Education,Somewhat familiar,ChatGPT,ChatGPT,3,None,reinforcement learning-powered code debugging system,Yes,Implement real-time course difficulty prediction in Mathematics courses with Transformer models
rachel96@gmail.com,Other,Engineering,Somewhat familiar,IBM Watson,IBM Watson,2,None,reinforcement learning-powered code debugging system,Maybe,Transformer models-based system for resource recommendation focusing on skill mastery in Language learning
chase_m@gmail.com,Postgraduate,Business,Somewhat familiar,Microsoft Copilot,Microsoft Copilot,3,None,predictive analytics-powered code debugging system,No,Partner with international companies for tool access
nathan76@gmail.com,Undergraduate,Business,Somewhat familiar,IBM Watson,IBM Watson,3,None,predictive analytics-powered writing assistance system,Yes,LSTM networks-based system for early warning systems focusing on engagement levels in Language learning
wendy.wyatt@gmail.com,Undergraduate,Education,Very familiar,"IBM Watson, GitHub Copilot, Grammarly","IBM Watson, GitHub Copilot, Grammarly",3,"Limited awareness of available AI tools, Integration with existing systems",predictive analytics-powered concept visualization system,Maybe,Random Forests-based system for early warning systems focusing on engagement levels in Engineering fundamentals
rossc@gmail.com,Postgraduate,Business,Somewhat familiar,"Grammarly, GitHub Copilot","Grammarly, GitHub Copilot",2,None,knowledge graphs-powered plagiarism detection system,No,Create Clinical skills-specific model using Transformer models that enables personalized learning paths
timothy.holt@gmail.com,Postgraduate,Health Sciences,Somewhat familiar,"ChatGPT, Turnitin","ChatGPT, Turnitin",2,None,Real-time languages error detection,Yes,Implement mobile-friendly AI platforms
christopher48@gmail.com,Undergraduate,Business,Not familiar at all,None,None,1,"Integration with existing systems, Cost of implementation",NLP-powered automated grading system,Maybe,Develop Time-series analysis to predict dropout risk in Language learning for personalized learning paths
gravesp@gmail.com,Postgraduate,Engineering,Somewhat familiar,"Turnitin, IBM Watson","Turnitin, IBM Watson",2,None,predictive analytics-powered concept visualization system,No,Develop Random Forests to predict student performance in Clinical skills for personalized learning paths
shawn33@gmail.com,Undergraduate,Engineering,Somewhat familiar,ChatGPT,ChatGPT,3,None,knowledge graphs-powered writing assistance system,Yes,Implement real-time skill mastery prediction in Business courses courses with Graph Neural Networks
rice_p@gmail.com,Undergraduate,Business,Somewhat familiar,"Turnitin, IBM Watson","Turnitin, IBM Watson",3,None,Real-time languages error detection,No,Random Forests-based system for early warning systems focusing on course difficulty in Programming
tyler.simmons@gmail.com,Undergraduate,Business,Somewhat familiar,"IBM Watson, Grammarly","IBM Watson, Grammarly",2,None,predictive analytics-powered code debugging system,Yes,Bayesian networks-based system for tutor matching focusing on skill mastery in Business courses
fernandezd@gmail.com,Postgraduate,Engineering,Not familiar at all,None,None,1,Technical issues with tools/platforms,Automated programming problem generator,No,Create Clinical skills-specific model using Random Forests that enables curriculum optimization
callahand@gmail.com,Undergraduate,Business,Somewhat familiar,ChatGPT,ChatGPT,3,None,NLP-powered writing assistance system,Yes,Implement real-time course difficulty prediction in Mathematics courses with Transformer models
velazquez_j@gmail.com,Undergraduate,Engineering,Somewhat familiar,Microsoft Copilot,Microsoft Copilot,3,None,Real-time math error detection,No,Time-series analysis-based system for curriculum optimization focusing on knowledge retention in Business courses
montgomery_j@gmail.com,Postgraduate,Engineering,Somewhat familiar,Turnitin,Turnitin,3,None,AI teaching assistant that predicts cognitive load,No,Create Language learning-specific model using Bayesian networks that enables personalized learning paths
berger_m@gmail.com,Postgraduate,Engineering,Somewhat familiar,ChatGPT,ChatGPT,2,None,NLP-powered code debugging system,No,Develop Transformer models to predict dropout risk in Language learning for resource recommendation
william.lewis@gmail.com,Undergraduate,Engineering,Not familiar at all,None,None,1,None,Real-time programming error detection,No,Implement real-time engagement levels prediction in Language learning courses with Ensemble methods
heather.harrison@gmail.com,Postgraduate,Health Sciences,Very familiar,"Microsoft Copilot, ChatGPT, Turnitin, GitHub Copilot","Microsoft Copilot, ChatGPT, Turnitin, GitHub Copilot",3,None,Automated math problem generator,No,Bayesian networks-based system for curriculum optimization focusing on engagement levels in Business courses
dennis63@gmail.com,Undergraduate,Engineering,Not familiar at all,None,None,1,None,AI teaching assistant that predicts cognitive load,Maybe,Develop Ensemble methods to predict skill mastery in Clinical skills for early warning systems
robert37@gmail.com,Undergraduate,Engineering,Somewhat familiar,"Microsoft Copilot, Turnitin","Microsoft Copilot, Turnitin",2,None,Automated programming problem generator,Yes,Create Programming-specific model using LSTM networks that enables personalized learning paths
gregory11@gmail.com,Postgraduate,Business,Very familiar,"Turnitin, Grammarly, IBM Watson, ChatGPT","Turnitin, Grammarly, IBM Watson, ChatGPT",5,None,Automated clinical skills problem generator,Yes,TA training program on model interpretation
jeffrey.lindsey@gmail.com,Other,Engineering,Somewhat familiar,ChatGPT,ChatGPT,3,"Limited awareness of available AI tools, Lack of training on how to use AI tools",computer vision-powered code debugging system,Yes,Implement real-time learning gaps prediction in Language learning courses with Transformer models
monique.young@gmail.com,Undergraduate,Health Sciences,Very familiar,"GitHub Copilot, Turnitin, IBM Watson","GitHub Copilot, Turnitin, IBM Watson",5,"Limited awareness of available AI tools, Cost of implementation",knowledge graphs-powered plagiarism detection system,No,Implement real-time skill mastery prediction in Engineering fundamentals courses with LSTM networks
cheryl.harmon@gmail.com,Undergraduate,Engineering,Somewhat familiar,IBM Watson,IBM Watson,2,None,Personalized programming learning coach,No,Develop Bayesian networks to predict course difficulty in Business courses for early warning systems
daniel.cunningham@gmail.com,Postgraduate,Education,Somewhat familiar,"GitHub Copilot, Turnitin","GitHub Copilot, Turnitin",3,None,predictive analytics-powered concept visualization system,Yes,Implement real-time dropout risk prediction in Clinical skills courses with Random Forests
golden_w@gmail.com,Postgraduate,Health Sciences,Very familiar,"Grammarly, Turnitin, GitHub Copilot","Grammarly, Turnitin, GitHub Copilot",4,None,predictive analytics-powered automated grading system,Yes,Implement real-time learning gaps prediction in Language learning courses with Transformer models
rebecca.bartlett@gmail.com,Undergraduate,Business,Not familiar at all,None,None,1,None,computer vision-powered automated grading system,Maybe,Time-series analysis-based system for curriculum optimization focusing on knowledge retention in Business courses
lindsay.rogers@gmail.com,Postgraduate,Business,Somewhat familiar,"IBM Watson, Grammarly","IBM Watson, Grammarly",2,"Lack of training on how to use AI tools, Limited awareness of available AI tools",computer vision-powered automated grading system,Maybe,Random Forests-based system for resource recommendation focusing on learning gaps in Engineering fundamentals
kristen.arias@gmail.com,Undergraduate,Engineering,Somewhat familiar,IBM Watson,IBM Watson,2,Technical issues with tools/platforms,AI teaching assistant that predicts learning styles,Maybe,Create Language learning-specific model using Random Forests that enables resource recommendation
rebecca80@gmail.com,Undergraduate,Business,Somewhat familiar,"Grammarly, Microsoft Copilot","Grammarly, Microsoft Copilot",2,None,Automated languages problem generator,No,Implement real-time student performance prediction in Business courses courses with LSTM networks
william71@gmail.com,Undergraduate,Health Sciences,Somewhat familiar,GitHub Copilot,GitHub Copilot,2,"Integration with existing systems, Lack of training on how to use AI tools",Personalized math learning coach,No,Create Engineering fundamentals-specific model using Bayesian networks that enables personalized learning paths
howelln@gmail.com,Undergraduate,Engineering,Not familiar at all,None,None,1,None,predictive analytics-powered writing assistance system,No,Develop Random Forests to predict engagement levels in Clinical skills for resource recommendation
hays_n@gmail.com,Postgraduate,Engineering,Not familiar at all,None,None,1,Integration with existing systems,Personalized math learning coach,Yes,Implement real-time skill mastery prediction in Mathematics courses with Bayesian networks
elizabeth.lawson@gmail.com,Undergraduate,Engineering,Somewhat familiar,ChatGPT,ChatGPT,2,None,Real-time languages error detection,Maybe,Develop Ensemble methods to predict student performance in Clinical skills for tutor matching
jennifer.rubio@gmail.com,Undergraduate,Health Sciences,Very familiar,"Turnitin, IBM Watson","Turnitin, IBM Watson",4,None,computer vision-powered automated grading system,Maybe,Develop AI use policy addressing {issue}
kimberly.blanchard@gmail.com,Undergraduate,Engineering,Very familiar,"GitHub Copilot, Microsoft Copilot","GitHub Copilot, Microsoft Copilot",4,None,predictive analytics-powered automated grading system,Yes,Develop Ensemble methods to predict skill mastery in Business courses for tutor matching
renee.mullins@gmail.com,Postgraduate,Business,Somewhat familiar,Microsoft Copilot,Microsoft Copilot,3,None,Automated programming problem generator,Yes,Implement real-time skill mastery prediction in Mathematics courses with Random Forests
diana.walker@gmail.com,Postgraduate,Engineering,Somewhat familiar,GitHub Copilot,GitHub Copilot,2,None,Automated languages problem generator,Maybe,Create Business courses-specific model using Time-series analysis that enables resource recommendation
mcclure_m@gmail.com,Postgraduate,Engineering,Somewhat familiar,"ChatGPT, Turnitin","ChatGPT, Turnitin",3,"Privacy concerns, Technical issues with tools/platforms",AI teaching assistant that visualizes cognitive load,Yes,Establish cross-department AI innovation fund
bailey_e@gmail.com,Undergraduate,Business,Not familiar at all,None,None,1,None,computer vision-powered code debugging system,Yes,LSTM networks-based system for adaptive testing focusing on course difficulty in Business courses
henryb@gmail.com,Undergraduate,Engineering,Not familiar at all,None,None,1,None,NLP-powered writing assistance system,Yes,Develop Graph Neural Networks to predict learning gaps in Programming for personalized learning paths
lisa59@gmail.com,Postgraduate,Health Sciences,Very familiar,"GitHub Copilot, Turnitin, Grammarly","GitHub Copilot, Turnitin, Grammarly",5,"Lack of access to devices or internet, Integration with existing systems",knowledge graphs-powered writing assistance system,Maybe,Graph Neural Networks-based system for resource recommendation focusing on knowledge retention in Language learning
diazs@gmail.com,Postgraduate,Business,Somewhat familiar,"GitHub Copilot, IBM Watson","GitHub Copilot, IBM Watson",2,"Lack of access to devices or internet, Lack of training on how to use AI tools",predictive analytics-powered writing assistance system,No,Create Business courses-specific model using Random Forests that enables tutor matching
susan36@gmail.com,Other,Health Sciences,Not familiar at all,None,None,1,None,computer vision-powered writing assistance system,No,Upgrade campus Wi-Fi to support AI tools
mary27@gmail.com,Undergraduate,Education,Somewhat familiar,Grammarly,Grammarly,2,None,NLP-powered writing assistance system,Yes,Create Language learning-specific model using Transformer models that enables resource recommendation
barreraj@gmail.com,Undergraduate,Health Sciences,Somewhat familiar,IBM Watson,IBM Watson,2,Integration with existing systems,Personalized math learning coach,Yes,Ensemble methods-based system for curriculum optimization focusing on student performance in Programming
joshua.cruz@gmail.com,Undergraduate,Engineering,Very familiar,"Grammarly, Microsoft Copilot","Grammarly, Microsoft Copilot",4,"None, Lack of training on how to use AI tools",computer vision-powered code debugging system,No,Develop Random Forests to predict student performance in Clinical skills for personalized learning paths
craigk@gmail.com,Undergraduate,Business,Not familiar at all,None,None,1,None,AI teaching assistant that predicts knowledge gaps,Yes,Create Language learning-specific model using Random Forests that enables resource recommendation
elizabeth.greene@gmail.com,Postgraduate,Health Sciences,Somewhat familiar,"IBM Watson, Grammarly","IBM Watson, Grammarly",3,None,Automated math problem generator,Yes,Develop Random Forests to predict learning gaps in Business courses for early warning systems
blackwell_j@gmail.com,Undergraduate,Health Sciences,Not familiar at all,None,None,1,None,reinforcement learning-powered concept visualization system,Maybe,Develop AI use policy addressing {issue}
snyder_n@gmail.com,Postgraduate,Health Sciences,Somewhat familiar,"Grammarly, ChatGPT","Grammarly, ChatGPT",3,"Cost of implementation, Cost of implementation",Automated math problem generator,Yes,Implement real-time skill mastery prediction in Mathematics courses with Random Forests
charlesn@gmail.com,Postgraduate,Engineering,Somewhat familiar,GitHub Copilot,GitHub Copilot,3,None,knowledge graphs-powered code debugging system,Maybe,Implement real-time dropout risk prediction in Language learning courses with Time-series analysis
perez_l@gmail.com,Undergraduate,Engineering,Somewhat familiar,GitHub Copilot,GitHub Copilot,3,"None, Technical issues with tools/platforms",computer vision-powered automated grading system,No,Faculty training program on prompt engineering
megan49@gmail.com,Undergraduate,Health Sciences,Very familiar,"Microsoft Copilot, Turnitin, Grammarly","Microsoft Copilot, Turnitin, Grammarly",3,None,computer vision-powered plagiarism detection system,No,Develop Graph Neural Networks to predict learning gaps in Engineering fundamentals for adaptive testing
rodriguez_p@gmail.com,Undergraduate,Engineering,Very familiar,"GitHub Copilot, ChatGPT, Turnitin","GitHub Copilot, ChatGPT, Turnitin",4,None,AI teaching assistant that visualizes learning styles,No,Develop Ensemble methods to predict engagement levels in Clinical skills for personalized learning paths
herring_d@gmail.com,Undergraduate,Business,Not familiar at all,None,None,1,None,knowledge graphs-powered concept visualization system,Maybe,Bayesian networks-based system for curriculum optimization focusing on skill mastery in Clinical skills
steven87@gmail.com,Undergraduate,Business,Somewhat familiar,"ChatGPT, Microsoft Copilot","ChatGPT, Microsoft Copilot",3,None,AI teaching assistant that adapts to cognitive load,Maybe,Implement real-time knowledge retention prediction in Clinical skills courses with Random Forests
kimberly.black@gmail.com,Undergraduate,Engineering,Somewhat familiar,"ChatGPT, Microsoft Copilot","ChatGPT, Microsoft Copilot",2,None,predictive analytics-powered code debugging system,Yes,Create Programming-specific model using Time-series analysis that enables personalized learning paths
thomas45@gmail.com,Undergraduate,Engineering,Not familiar at all,None,None,1,Technical issues with tools/platforms,computer vision-powered code debugging system,No,Implement real-time dropout risk prediction in Engineering fundamentals courses with Ensemble methods
lisa.zimmerman@gmail.com,Other,Health Sciences,Not familiar at all,None,None,1,None,predictive analytics-powered code debugging system,No,LSTM networks-based system for adaptive testing focusing on dropout risk in Business courses
jeffery89@gmail.com,Postgraduate,Education,Somewhat familiar,IBM Watson,IBM Watson,3,Technical issues with tools/platforms,AI teaching assistant that visualizes learning styles,Yes,Develop Ensemble methods to predict learning gaps in Programming for resource recommendation
santiago_p@gmail.com,Undergraduate,Education,Not familiar at all,None,None,1,None,Automated clinical skills problem generator,No,Develop Transformer models to predict dropout risk in Language learning for personalized learning paths
dylan.roberts@gmail.com,Undergraduate,Health Sciences,Somewhat familiar,"Microsoft Copilot, IBM Watson","Microsoft Copilot, IBM Watson",2,Limited awareness of available AI tools,Real-time math error detection,Yes,Develop Ensemble methods to predict skill mastery in Engineering fundamentals for early warning systems
stephen23@gmail.com,Undergraduate,Health Sciences,Somewhat familiar,"Turnitin, GitHub Copilot","Turnitin, GitHub Copilot",2,"None, Limited awareness of available AI tools",Automated math problem generator,No,Bayesian networks-based system for tutor matching focusing on learning gaps in Business courses
donald79@gmail.com,Undergraduate,Business,Somewhat familiar,"ChatGPT, Turnitin","ChatGPT, Turnitin",2,Cost of implementation,computer vision-powered automated grading system,Yes,Graph Neural Networks-based system for personalized learning paths focusing on engagement levels in Mathematics
whitney97@gmail.com,Undergraduate,Engineering,Not familiar at all,None,None,1,None,Automated math problem generator,No,Develop Ensemble methods to predict engagement levels in Clinical skills for personalized learning paths
shane48@gmail.com,Postgraduate,Business,Somewhat familiar,ChatGPT,ChatGPT,2,Limited awareness of available AI tools,NLP-powered automated grading system,Yes,Create Language learning-specific model using Bayesian networks that enables personalized learning paths
justin54@gmail.com,Postgraduate,Education,Not familiar at all,None,None,1,Privacy concerns,AI teaching assistant that visualizes knowledge gaps,Maybe,Develop Bayesian networks to predict learning gaps in Mathematics for resource recommendation
carlos.wilson@gmail.com,Other,Engineering,Somewhat familiar,Grammarly,Grammarly,3,None,predictive analytics-powered plagiarism detection system,No,LSTM networks-based system for adaptive testing focusing on dropout risk in Engineering fundamentals
stephen96@gmail.com,Postgraduate,Engineering,Somewhat familiar,"IBM Watson, GitHub Copilot","IBM Watson, GitHub Copilot",2,None,knowledge graphs-powered code debugging system,Maybe,Random Forests-based system for early warning systems focusing on engagement levels in Engineering fundamentals
dickson_r@gmail.com,Postgraduate,Business,Somewhat familiar,IBM Watson,IBM Watson,2,None,knowledge graphs-powered automated grading system,No,Develop Graph Neural Networks to predict knowledge retention in Language learning for early warning systems
montgomerym@gmail.com,Undergraduate,Health Sciences,Somewhat familiar,"Turnitin, IBM Watson","Turnitin, IBM Watson",3,None,computer vision-powered plagiarism detection system,Yes,Develop Ensemble methods to predict skill mastery in Business courses for personalized learning paths
jamie68@gmail.com,Undergraduate,Education,Very familiar,"Microsoft Copilot, IBM Watson, Turnitin, GitHub Copilot","Microsoft Copilot, IBM Watson, Turnitin, GitHub Copilot",3,Lack of training on how to use AI tools,AI teaching assistant that visualizes knowledge gaps,Maybe,Faculty training program on AI ethics
joshua.cooper@gmail.com,Undergraduate,Health Sciences,Not familiar at all,None,None,1,"Limited awareness of available AI tools, None",knowledge graphs-powered concept visualization system,Maybe,Random Forests-based system for curriculum optimization focusing on skill mastery in Business courses
heather14@gmail.com,Undergraduate,Business,Somewhat familiar,Grammarly,Grammarly,3,None,computer vision-powered writing assistance system,No,Develop AI use policy addressing {issue}
nicholas.williams@gmail.com,Postgraduate,Business,Very familiar,"IBM Watson, Turnitin, GitHub Copilot","IBM Watson, Turnitin, GitHub Copilot",4,Lack of access to devices or internet,predictive analytics-powered concept visualization system,No,Implement real-time skill mastery prediction in Clinical skills courses with Ensemble methods
michelle.stone@gmail.com,Postgraduate,Education,Somewhat familiar,GitHub Copilot,GitHub Copilot,3,None,reinforcement learning-powered writing assistance system,No,Develop Transformer models to predict dropout risk in Language learning for resource recommendation
angela.wilson@gmail.com,Other,Health Sciences,Not familiar at all,None,None,1,Integration with existing systems,Personalized programming learning coach,No,Create student AI ambassador program
noah.grant@gmail.com,Undergraduate,Engineering,Very familiar,"GitHub Copilot, Microsoft Copilot, Turnitin, IBM Watson","GitHub Copilot, Microsoft Copilot, Turnitin, IBM Watson",3,None,NLP-powered concept visualization system,Yes,Faculty training program on prompt engineering
linda21@gmail.com,Undergraduate,Education,Not familiar at all,None,None,1,None,AI teaching assistant that visualizes cognitive load,Maybe,Develop Ensemble methods to predict engagement levels in Clinical skills for personalized learning paths
misty.carter@gmail.com,Undergraduate,Health Sciences,Somewhat familiar,IBM Watson,IBM Watson,2,Cost of implementation,Real-time languages error detection,Yes,Create Clinical skills-specific model using Graph Neural Networks that enables early warning systems
melendeza@gmail.com,Undergraduate,Business,Not familiar at all,None,None,1,"Lack of access to devices or internet, Limited awareness of available AI tools",Automated programming problem generator,No,Develop Transformer models to predict dropout risk in Business courses for tutor matching
harold.anderson@gmail.com,Undergraduate,Business,Somewhat familiar,Microsoft Copilot,Microsoft Copilot,2,None,Personalized programming learning coach,Yes,Create Clinical skills-specific model using Random Forests that enables curriculum optimization
vanessa.pennington@gmail.com,Postgraduate,Engineering,Somewhat familiar,"Turnitin, Microsoft Copilot","Turnitin, Microsoft Copilot",3,None,NLP-powered automated grading system,Yes,Develop Ensemble methods to predict skill mastery in Business courses for personalized learning paths
ashley.calhoun@gmail.com,Postgraduate,Business,Very familiar,"GitHub Copilot, ChatGPT, Grammarly, Turnitin","GitHub Copilot, ChatGPT, Grammarly, Turnitin",5,None,Personalized clinical skills learning coach,Maybe,Implement real-time skill mastery prediction in Engineering fundamentals courses with Graph Neural Networks
taylor_t@gmail.com,Postgraduate,Engineering,Somewhat familiar,Grammarly,Grammarly,3,None,NLP-powered writing assistance system,Yes,Develop LSTM networks to predict knowledge retention in Programming for adaptive testing
robert98@gmail.com,Undergraduate,Health Sciences,Somewhat familiar,"IBM Watson, GitHub Copilot","IBM Watson, GitHub Copilot",2,None,Automated languages problem generator,Maybe,Time-series analysis-based system for adaptive testing focusing on course difficulty in Programming
jason.cole@gmail.com,Undergraduate,Business,Somewhat familiar,"Grammarly, IBM Watson","Grammarly, IBM Watson",2,Cost of implementation,NLP-powered plagiarism detection system,No,Develop Transformer models to predict dropout risk in Business courses for tutor matching
bradyn@gmail.com,Undergraduate,Business,Somewhat familiar,"Turnitin, ChatGPT","Turnitin, ChatGPT",2,None,knowledge graphs-powered concept visualization system,No,Create Mathematics-specific model using Bayesian networks that enables adaptive testing
moranj@gmail.com,Postgraduate,Business,Somewhat familiar,Grammarly,Grammarly,2,Integration with existing systems,computer vision-powered writing assistance system,Yes,Create Business courses-specific model using LSTM networks that enables resource recommendation
andrea37@gmail.com,Undergraduate,Business,Not familiar at all,None,None,1,None,AI teaching assistant that visualizes knowledge gaps,Yes,Create Engineering fundamentals-specific model using Time-series analysis that enables tutor matching
robin52@gmail.com,Other,Business,Somewhat familiar,"Turnitin, GitHub Copilot","Turnitin, GitHub Copilot",2,None,knowledge graphs-powered code debugging system,Yes,Develop AI use policy addressing {issue}
rosales_l@gmail.com,Postgraduate,Health Sciences,Somewhat familiar,Grammarly,Grammarly,3,None,predictive analytics-powered plagiarism detection system,No,Develop LSTM networks to predict knowledge retention in Programming for curriculum optimization
kelly.lopez@gmail.com,Undergraduate,Health Sciences,Not familiar at all,None,None,1,"Integration with existing systems, Lack of access to devices or internet",Real-time clinical skills error detection,Yes,Bayesian networks-based system for personalized learning paths focusing on skill mastery in Mathematics
kelly12@gmail.com,Undergraduate,Engineering,Somewhat familiar,Turnitin,Turnitin,2,None,computer vision-powered code debugging system,Yes,Develop Time-series analysis to predict engagement levels in Engineering fundamentals for adaptive testing
william63@gmail.com,Postgraduate,Business,Somewhat familiar,"Microsoft Copilot, GitHub Copilot","Microsoft Copilot, GitHub Copilot",2,None,NLP-powered automated grading system,Maybe,Implement real-time skill mastery prediction in Business courses courses with LSTM networks
christy73@gmail.com,Undergraduate,Engineering,Somewhat familiar,Grammarly,Grammarly,2,None,NLP-powered concept visualization system,Maybe,Create Clinical skills-specific model using Graph Neural Networks that enables early warning systems
raven.moyer@gmail.com,Undergraduate,Engineering,Somewhat familiar,Turnitin,Turnitin,2,None,Automated programming problem generator,Yes,Student training program on AI ethics
brian19@gmail.com,Postgraduate,Business,Not familiar at all,None,None,1,"None, Limited awareness of available AI tools",NLP-powered writing assistance system,No,Implement real-time student performance prediction in Business courses courses with LSTM networks
phillipsb@gmail.com,Postgraduate,Engineering,Very familiar,"GitHub Copilot, Microsoft Copilot","GitHub Copilot, Microsoft Copilot",5,Limited awareness of available AI tools,computer vision-powered code debugging system,Yes,Faculty training program on prompt engineering
bentonl@gmail.com,Undergraduate,Business,Very familiar,"IBM Watson, Grammarly, ChatGPT, Microsoft Copilot","IBM Watson, Grammarly, ChatGPT, Microsoft Copilot",3,None,knowledge graphs-powered code debugging system,Yes,Create Programming-specific model using LSTM networks that enables personalized learning paths
